topic,video_id,title,description,views,likes,duration_minutes,keywords,keyword_count,difficulty,positive_comments(%),neutral_comments(%),negative_comments(%),total_comments,video_url,published_at,channel_title
react js beginner,G3e-cpL7ofc,HTML & CSS Full Course Beginner to Pro,"Get a certificate for this course: css or Frontend Bundle React, JS, HTML CSS : bundle Includes certificate of completion and better learning experience smaller videos, ads free Don't worry if you're halfway through or finished the course, you can skip the lessons you finished and take a final test to get a Certificate. Thanks for supporting SuperSimpleDev In this full course, we learn how to build websites with HTML and CSS, and get started as a software engineer. Exercise solutions: css course",16507542,302355,391.4,"css, html, course, get, certificate, bundle, premium, react, supersimpledev, full, basics, frontend, better, learning, experience, videos, finished, lessons, learn, websites",20,Beginner,33.33,66.67,0.0,15,https://www.youtube.com/watch?v=G3e-cpL7ofc,2022-02-05T16:41:52Z,SuperSimpleDev
react js beginner,W6NZfCO5SIk,JavaScript Course for Beginners Your First Step to Web Development,"Learn JavaScript basics with this quick, beginner friendly course Perfect for new coders ready to build real skills and start programming with confidence. Join this channel to get access to perks: V0ZXdmDpPBA/join Ready to dive deeper? Check out my complete JavaScript course: course Subscribe for more coding tutorials: Stay connected: Twitter: Facebook: Instagram: LinkedIn: Why JavaScript? It's the essential language for web development. Build front end AND back end applications with Node.js . S",14398558,246883,48.28,"javascript, tutorial, beginners, course, development, beginner, perfect, ready, build, complete, coding, tutorials, web, end, node, types, functions, learn, basics, quick",20,Beginner,46.67,53.33,0.0,15,https://www.youtube.com/watch?v=W6NZfCO5SIk,2018-04-24T02:37:33Z,Programming with Mosh
react js beginner,qz0aGYrrlhU,HTML Tutorial for Beginners: HTML Crash Course,"Start your web development career with HTML/CSS This beginner friendly tutorial covers the essentials. Join this channel to get access to perks: V0ZXdmDpPBA/join Want to master HTML/CSS? Check out my complete course: course Subscribe for more awesome content: Stay connected: Twitter: Facebook: Instagram: LinkedIn: Why HTML? It's the foundation for every website. Essential skill for front end web developers. Easy to learn, even for absolute beginners. This tutorial is perfect for you if: You drea",10202634,225296,69.57,"web, development, html, career, tutorial, want, course, content, website, works, inspecting, basics, pages, start, beginner, friendly, covers, essentials, join, channel",20,Beginner,40.0,60.0,0.0,15,https://www.youtube.com/watch?v=qz0aGYrrlhU,2021-01-11T14:30:10Z,Programming with Mosh
react js beginner,5-oiLKEWIEw,Best Programming Languages programming coding javascript,,8133702,240314,0.27,No keywords,0,"Here's a classification breakdown:

*   **Best Programming Languages:** Beginner
*   **Programming:** Beginner
*   **Coding:** Beginner
*   **JavaScript:** Intermediate (While JavaScript can be used by beginners, mastering it for front-end, back-end, and more advanced use cases requires intermediate knowledge.)",40.0,46.67,13.33,15,https://www.youtube.com/watch?v=5-oiLKEWIEw,2023-05-01T03:26:26Z,Devslopes
react js beginner,EerdGm-ehJQ,JavaScript Tutorial Full Course Beginner to Pro,"Get a certificate for this course: or Frontend Bundle React, JS, HTML CSS : bundle Includes certificate of completion and better learning experience smaller videos, ads free Don't worry if you're halfway through or finished the course, you can skip the lessons you finished and take a final test to get a Certificate. Thanks for supporting SuperSimpleDev In this JavaScript tutorial and JavaScript full course, learn to build complex websites with JavaScript, HTML, and CSS. Links for each lesson: co",6517136,133288,1335.95,"javascript, css, course, html, certificate, bundle, premium, get, react, supersimpledev, tutorial, intro, functions, project, frontend, better, learning, experience, videos, finished",20,Beginner,60.0,33.33,6.67,15,https://www.youtube.com/watch?v=EerdGm-ehJQ,2024-05-09T07:28:14Z,SuperSimpleDev
react js beginner,Ke90Tje7VS0,React JS React Tutorial for Beginners,Watch the latest version: 2iVquJ3Eaw8X React JS Tutorial Get up & running with React JS: the most popular JavaScript library in the world Want to master React? Get my React mastery course: course Subscribe for more videos like this: Want to learn more from me? Check out my blog and courses: Courses: Blog: Facebook: Twitter: TABLE OF CONTENT 00:00 Introduction 01:14 What is React 05:48 Setting Up the Development Environment 09:27 Your First React App 16:03 Hello World 22:26 Components 24:06 Setti,6345999,93852,145.45,"react, state, components, setting, rendering, updating, passing, phase, get, world, want, course, blog, courses, first, children, handling, events, event, arguments",20,Beginner,33.33,60.0,6.67,15,https://www.youtube.com/watch?v=Ke90Tje7VS0,2018-07-16T16:51:44Z,Programming with Mosh
react js beginner,TlB_eWDSMt4,Node.js Tutorial for Beginners: Learn Node in 1 Hour,"Learn Node.js basics in 1 hour This beginner friendly tutorial gets you coding fast. Join this channel to get access to perks: V0ZXdmDpPBA/join Want to master Node.js? Check out my complete course: course Subscribe for more awesome content: Stay connected: Twitter: Facebook: Instagram: LinkedIn: Why Node.js? Build fast, scalable back end applications with JavaScript. Super in demand for developers Non blocking I/O for high performance. This tutorial is perfect for you if: You know some JavaScrip",6297624,98947,78.27,"module, node, coding, javascript, tutorial, fast, get, want, course, content, system, learn, basics, hour, beginner, friendly, gets, join, channel, access",20,Beginner,26.67,66.67,6.67,15,https://www.youtube.com/watch?v=TlB_eWDSMt4,2018-02-21T23:57:12Z,Programming with Mosh
react js beginner,VlPiVmYuoqw,"JavaScript Tutorial 2024 for Beginners to Pro with Notes, Projects & Practice Questions",Notes available at : link Code for Projects : khapra/JavaScriptSeries New DSA + Development Batch Sigma : batch Join the Apni Community : Time stamp Introduction 00:00:00 Variables and data types 00:01:25 Operators 01:21:18 Loops 02:30:37 Arrays 03:43:30 Functions 04:37:28 DOM part 1 05:39:00 DOM Part 2 06:52:50 Events 07:17:24 Building Game 07:46:41 Classes 08:28:18 Callback 09:22:28 Fetch API 10:37:54 Project Currency converter 11:06:15,5295572,65860,707.23,"batch, dom, part, notes, available, link, code, projects, new, dsa, development, sigma, join, apni, community, time, stamp, introduction, variables, data",20,Beginner,6.67,93.33,0.0,15,https://www.youtube.com/watch?v=VlPiVmYuoqw,2023-12-21T14:39:41Z,Apna College
react js beginner,SqcY0GlETPk,React Tutorial for Beginners,Master React 18 with TypeScript Build amazing front end apps with this beginner friendly tutorial. Join this channel to get access to perks: V0ZXdmDpPBA/join Want the ultimate React deep dive? Check out my full course: course Subscribe for more awesome content: Stay connected: Twitter: Facebook: Instagram: LinkedIn: TABLE OF CONTENT 00:00:00 Course Intro 00:01:55 Prerequisites 00:02:43 What is React? 00:04:57 Setting Up the Development Environment 00:06:24 Creating a React App 00:09:17 Project S,5046824,86760,80.07,"react, course, creating, component, passing, props, content, building, components, rendering, state, via, exercise, master, typescript, build, amazing, front, end, apps",20,Beginner,60.0,40.0,0.0,15,https://www.youtube.com/watch?v=SqcY0GlETPk,2023-03-12T08:00:07Z,Programming with Mosh
react js beginner,QFaFIcGhPoM,ReactJS Tutorial 1 Introduction,Courses Support UPI Support PayPal Github Follow Codevolution + Twitter + Facebook Business codevolution.business@gmail.com React is an open source javascript library for building user interfaces. React is a project created and maintained by Facebook. React has more than a 100 thousand stars on GitHub and a huge community behind it. React has become increasingly popular among developers and is also one of the most sought out skill sets by companies right now. React has a component based architec,4480046,37593,9.57,"react, support, github, facebook, one, right, application, parts, make, complex, courses, upi, paypal, follow, codevolution, twitter, business, open, source, javascript",20,Beginner,53.33,46.67,0.0,15,https://www.youtube.com/watch?v=QFaFIcGhPoM,2018-10-22T10:30:00Z,Codevolution
